iter	Passed	Remaining
526	3547	3184
527	3553	3176
528	3561	3170
529	3568	3164
530	3575	3158
531	3581	3151
532	3589	3144
533	3596	3138
534	3602	3131
535	3609	3124
536	3616	3117
537	3623	3111
538	3630	3104
539	3637	3098
540	3643	3091
541	3648	3083
542	3654	3075
543	3662	3069
544	3668	3062
545	3674	3055
546	3681	3048
547	3688	3042
548	3695	3035
549	3701	3028
550	3708	3021
551	3714	3015
552	3720	3007
553	3727	3000
554	3733	2993
555	3739	2986
556	3746	2979
557	3752	2972
558	3758	2965
559	3765	2958
560	3772	2951
561	3778	2944
562	3784	2937
563	3791	2931
564	3798	2924
565	3804	2917
566	3811	2910
567	3817	2903
568	3824	2897
569	3831	2890
570	3839	2884
571	3846	2877
572	3852	2871
573	3859	2864
574	3865	2857
575	3872	2850
576	3878	2843
577	3885	2837
578	3891	2829
579	3897	2822
580	3903	2815
581	3910	2808
582	3916	2801
583	3923	2794
584	3928	2787
585	3935	2780
586	3942	2773
587	3949	2767
588	3955	2760
589	3962	2753
590	3969	2747
591	3975	2739
592	3983	2733
593	3990	2727
594	3996	2720
595	4002	2713
596	4009	2706
597	4016	2700
598	4023	2693
599	4030	2686
600	4036	2679
601	4042	2672
602	4049	2666
603	4055	2659
604	4062	2652
605	4067	2644
606	4075	2638
607	4081	2631
608	4088	2624
609	4095	2618
610	4101	2611
611	4109	2605
612	4116	2598
613	4122	2591
614	4129	2584
615	4135	2577
616	4141	2570
617	4148	2563
618	4154	2557
619	4160	2550
620	4167	2543
621	4173	2536
622	4180	2529
623	4186	2522
624	4194	2516
625	4200	2509
626	4205	2502
627	4212	2495
628	4219	2488
629	4226	2482
630	4233	2475
631	4240	2469
632	4248	2462
633	4256	2456
634	4262	2449
635	4268	2443
636	4276	2436
637	4282	2429
638	4289	2423
639	4295	2416
640	4301	2409
641	4307	2402
642	4313	2395
643	4320	2388
644	4328	2382
645	4335	2376
646	4341	2368
647	4347	2361
648	4354	2355
649	4361	2348
650	4368	2341
651	4374	2335
652	4381	2328
653	4388	2321
654	4394	2314
655	4400	2307
656	4407	2301
657	4413	2293
658	4419	2287
659	4427	2280
660	4434	2274
661	4441	2267
662	4448	2261
663	4454	2254
664	4461	2247
665	4468	2240
666	4475	2234
667	4482	2227
668	4489	2221
669	4496	2214
670	4503	2208
671	4510	2201
672	4516	2194
673	4522	2187
674	4529	2180
675	4536	2174
676	4543	2167
677	4549	2160
678	4556	2154
679	4563	2147
680	4570	2140
681	4576	2133
682	4582	2126
683	4588	2120
684	4594	2112
685	4600	2105
686	4606	2098
687	4613	2092
688	4619	2085
689	4626	2078
690	4633	2071
691	4640	2065
692	4647	2058
693	4654	2052
694	4659	2044
695	4666	2038
696	4673	2031
697	4680	2025
698	4686	2017
699	4692	2011
700	4699	2004
701	4706	1997
702	4712	1990
703	4718	1983
704	4725	1977
705	4732	1970
706	4738	1963
707	4745	1957
708	4753	1951
709	4759	1944
710	4766	1937
711	4773	1930
712	4780	1924
713	4786	1917
714	4791	1910
715	4797	1902
716	4803	1896
717	4810	1889
718	4817	1882
719	4824	1876
720	4831	1869
721	4837	1862
722	4845	1856
723	4851	1849
724	4858	1842
725	4864	1835
726	4871	1829
727	4877	1822
728	4883	1815
729	4889	1808
730	4895	1801
731	4902	1795
732	4909	1788
733	4916	1781
734	4923	1774
735	4929	1768
736	4935	1761
737	4941	1754
738	4948	1747
739	4953	1740
740	4959	1733
741	4966	1726
742	4973	1720
743	4981	1713
744	4987	1707
745	4993	1700
746	5000	1693
747	5006	1686
748	5012	1679
749	5018	1672
750	5024	1666
751	5032	1659
752	5039	1652
753	5046	1646
754	5052	1639
755	5059	1632
756	5065	1626
757	5072	1619
758	5078	1612
759	5085	1605
760	5091	1598
761	5098	1592
762	5104	1585
763	5111	1579
764	5118	1572
765	5126	1565
766	5133	1559
767	5141	1553
768	5147	1546
769	5154	1539
770	5160	1532
771	5167	1526
772	5173	1519
773	5179	1512
774	5185	1505
775	5191	1498
776	5198	1491
777	5204	1485
778	5212	1478
779	5219	1472
780	5226	1465
781	5232	1458
782	5239	1452
783	5246	1445
784	5253	1438
785	5260	1432
786	5267	1425
787	5274	1418
788	5280	1412
789	5287	1405
790	5294	1398
791	5300	1392
792	5307	1385
793	5314	1378
794	5320	1372
795	5327	1365
796	5334	1358
797	5341	1352
798	5347	1345
799	5353	1338
800	5360	1331
801	5366	1324
802	5372	1318
803	5378	1311
804	5385	1304
805	5392	1297
806	5398	1291
807	5405	1284
808	5412	1277
809	5420	1271
810	5426	1264
811	5432	1257
812	5438	1250
813	5445	1244
814	5452	1237
815	5458	1230
816	5464	1224
817	5470	1217
818	5477	1210
819	5483	1203
820	5490	1196
821	5496	1190
822	5502	1183
823	5508	1176
824	5516	1170
825	5522	1163
826	5530	1156
827	5537	1150
828	5544	1143
829	5551	1137
830	5559	1130
831	5566	1124
832	5572	1117
833	5579	1110
834	5586	1103
835	5593	1097
836	5600	1090
837	5606	1083
838	5613	1077
839	5620	1070
840	5627	1063
841	5634	1057
842	5641	1050
843	5647	1043
844	5654	1037
845	5661	1030
846	5668	1023
847	5675	1017
848	5681	1010
849	5687	1003
850	5693	996
851	5699	990
852	5704	983
853	5710	976
854	5718	969
855	5724	963
856	5731	956
857	5737	949
858	5744	942
859	5751	936
860	5758	929
861	5765	922
862	5771	916
863	5778	909
864	5785	902
865	5791	896
866	5798	889
867	5805	882
868	5812	876
869	5820	869
870	5826	862
871	5833	856
872	5840	849
873	5847	843
874	5854	836
875	5862	829
876	5868	823
877	5874	816
878	5881	809
879	5887	802
880	5894	796
881	5901	789
882	5907	782
883	5913	776
884	5920	769
885	5927	762
886	5934	756
887	5941	749
888	5947	742
889	5953	735
890	5960	729
891	5967	722
892	5973	715
893	5982	709
894	5988	702
895	5994	695
896	6000	689
897	6007	682
898	6014	675
899	6020	668
900	6026	662
901	6033	655
902	6039	648
903	6046	642
904	6053	635
905	6059	628
906	6065	621
907	6072	615
908	6079	608
909	6086	601
910	6092	595
911	6099	588
912	6106	581
913	6112	575
914	6118	568
915	6125	561
916	6131	555
917	6138	548
918	6145	541
919	6152	534
920	6157	528
921	6164	521
922	6171	514
923	6177	508
924	6184	501
925	6191	494
926	6196	487
927	6203	481
928	6210	474
929	6216	467
930	6223	461
931	6232	454
932	6240	448
933	6248	441
934	6255	434
935	6261	428
936	6267	421
937	6274	414
938	6281	408
939	6287	401
940	6293	394
941	6300	387
942	6308	381
943	6314	374
944	6322	367
945	6329	361
946	6334	354
947	6341	347
948	6347	341
949	6353	334
950	6359	327
951	6365	320
952	6372	314
953	6379	307
954	6387	300
955	6394	294
956	6400	287
957	6408	280
958	6413	274
959	6420	267
960	6427	260
961	6433	254
962	6440	247
963	6447	240
964	6453	234
965	6459	227
966	6465	220
967	6473	213
968	6479	207
969	6486	200
970	6492	193
971	6498	187
972	6505	180
973	6511	173
974	6517	167
975	6524	160
976	6531	153
977	6538	147
978	6545	140
979	6551	133
980	6557	127
981	6565	120
982	6572	113
983	6577	106
984	6584	100
985	6590	93
986	6597	86
987	6603	80
988	6610	73
989	6616	66
990	6623	60
991	6629	53
992	6636	46
993	6642	40
994	6648	33
995	6656	26
996	6662	20
997	6669	13
998	6676	6
999	6683	0
