iter	RMSE
272	13492.64
273	13467.81903
274	13452.3502
275	13425.00538
276	13391.32677
277	13370.70802
278	13368.44438
279	13353.9899
280	13330.18768
281	13321.08361
282	13301.67667
283	13273.05339
284	13250.78239
285	13237.58326
286	13223.36427
287	13208.55989
288	13183.62678
289	13166.80306
290	13144.3221
291	13106.82961
292	13076.95818
293	13061.97554
294	13051.01529
295	13025.22278
296	13009.63969
297	12996.09255
298	12976.9222
299	12961.97644
300	12936.76036
301	12913.34841
302	12885.1723
303	12866.25014
304	12854.21996
305	12817.88906
306	12798.01261
307	12785.81091
308	12763.10521
309	12754.73162
310	12733.51815
311	12723.49405
312	12701.7428
313	12691.5859
314	12676.7029
315	12662.27844
316	12647.4789
317	12632.87094
318	12616.65642
319	12610.56838
320	12586.77124
321	12560.81035
322	12559.7675
323	12545.81986
324	12533.52466
325	12514.39784
326	12506.83298
327	12497.39797
328	12487.624
329	12477.70455
330	12469.38107
331	12459.62112
332	12435.43765
333	12416.52051
334	12404.49983
335	12399.72713
336	12389.47267
337	12362.14615
338	12338.44134
339	12336.84484
340	12322.54194
341	12316.48075
342	12295.57822
343	12288.94258
344	12278.5959
345	12263.95081
346	12244.4505
347	12229.71562
348	12220.36714
349	12202.40589
350	12196.8836
351	12181.63908
352	12175.72335
353	12165.67262
354	12160.47199
355	12143.59404
356	12130.29083
357	12126.2354
358	12104.17618
359	12096.39342
360	12081.20977
361	12072.01452
362	12053.71924
363	12039.55464
364	12014.3586
365	11998.74328
366	11991.58688
367	11981.27092
368	11980.63722
369	11975.95145
370	11963.4228
371	11937.54043
372	11923.8
373	11919.82595
374	11915.15911
375	11911.88872
376	11893.40094
377	11875.57715
378	11855.75244
379	11838.28
380	11828.54534
381	11809.32618
382	11792.22125
383	11779.30691
384	11764.54451
385	11740.62971
386	11727.70626
387	11726.45981
388	11713.80229
389	11701.19057
390	11697.35779
391	11684.41239
392	11673.7682
393	11672.43624
394	11652.42124
395	11649.82769
396	11634.29026
397	11619.38946
398	11612.03052
399	11598.09731
400	11591.47531
401	11586.30321
402	11565.19596
403	11546.55457
404	11536.30672
405	11522.92204
406	11499.10331
407	11492.84405
408	11479.4164
409	11464.53898
410	11443.11466
411	11423.62097
412	11415.90279
413	11391.61401
414	11384.94701
415	11368.4555
416	11344.40433
417	11330.99762
418	11328.26261
419	11297.05069
420	11278.58366
421	11276.72139
422	11259.41624
423	11247.54743
424	11226.3165
425	11207.66768
426	11191.23029
427	11180.892
428	11170.57897
429	11166.28032
430	11160.18631
431	11149.92565
432	11123.03967
433	11118.72997
434	11115.88439
435	11106.79811
436	11088.2885
437	11086.15322
438	11082.16088
439	11067.82295
440	11045.61392
441	11032.82028
442	11026.46129
443	11018.97229
444	11001.12126
445	10996.41742
446	10979.24555
447	10973.64276
448	10964.51768
449	10946.48825
450	10939.37359
451	10929.04419
452	10925.06435
453	10916.54953
454	10899.15914
455	10880.69718
456	10872.01605
457	10862.58733
458	10842.97639
459	10821.71499
460	10812.68787
461	10790.56483
462	10775.82145
463	10753.46132
464	10743.15796
465	10734.38542
466	10730.39687
467	10727.9599
468	10721.20717
469	10705.16224
470	10698.48698
471	10694.33559
472	10690.03226
473	10683.86728
474	10683.30425
475	10675.55096
476	10672.14457
477	10667.88123
478	10656.75854
479	10631.30329
480	10625.33597
481	10619.76554
482	10613.49072
483	10604.26631
484	10596.96182
485	10589.54465
486	10578.31449
487	10573.45095
488	10553.98841
489	10532.01362
490	10519.10121
491	10509.90795
492	10489.62816
493	10488.34622
494	10481.83902
495	10468.0734
496	10463.12692
497	10448.17387
498	10441.53287
499	10438.49504
500	10424.40208
501	10419.07389
502	10415.53817
503	10399.30075
504	10395.49354
505	10392.24265
506	10389.83686
507	10378.6747
508	10376.3665
509	10361.96185
510	10348.38804
511	10333.5884
512	10329.59789
513	10311.78717
514	10292.65279
515	10281.70253
516	10279.49652
517	10274.37408
518	10263.12017
519	10259.14857
520	10253.17898
521	10243.64671
522	10235.14095
523	10223.39203
524	10218.74392
525	10208.34911
526	10200.9125
527	10197.2161
528	10195.28557
529	10192.2387
530	10184.44677
531	10178.22064
532	10175.79475
533	10173.58743
534	10162.19877
535	10156.93579
536	10151.91455
537	10149.73097
538	10135.17055
539	10121.19692
540	10117.00974
541	10105.16535
542	10090.34672
543	10084.83681
544	10077.00088
545	10065.62751
546	10051.45609
547	10047.22203
548	10040.87118
549	10033.50227
550	10022.63457
551	10011.49228
552	9996.502102
553	9993.701696
554	9986.100559
555	9976.704338
556	9964.400469
557	9953.925798
558	9937.600044
559	9930.773557
560	9925.950548
561	9917.287705
562	9901.058062
563	9897.55212
564	9896.090066
565	9886.787783
566	9883.397024
567	9871.128991
568	9866.29236
569	9858.833813
570	9845.861425
571	9835.777736
572	9828.803874
573	9818.526153
574	9806.598785
575	9803.61781
576	9794.298649
577	9789.532163
578	9769.36026
579	9758.123816
580	9757.307868
581	9746.746662
582	9739.545809
583	9730.334191
584	9714.055953
585	9704.88353
586	9695.350271
587	9684.102817
588	9674.864361
589	9667.387446
590	9661.489359
591	9656.031351
592	9649.368901
593	9640.864227
594	9638.848194
595	9635.419209
596	9627.84472
597	9620.696501
598	9611.961756
599	9602.957643
600	9602.153202
601	9596.46708
602	9589.671673
603	9588.065801
604	9579.894626
605	9564.174558
606	9560.62894
607	9558.842204
608	9549.803514
609	9543.883456
610	9542.56454
611	9536.799319
612	9530.201128
613	9521.635851
614	9512.614202
615	9511.077143
616	9500.945693
617	9497.964153
618	9491.046362
619	9474.361968
620	9472.677063
621	9463.353258
622	9452.538106
623	9444.022812
624	9435.559107
625	9431.018262
626	9422.051954
627	9419.799759
628	9417.74375
629	9409.568991
630	9397.473008
631	9389.204606
632	9383.724144
633	9370.280778
634	9357.408878
635	9350.637023
636	9348.516218
637	9338.628076
638	9329.661791
639	9319.470628
640	9309.232446
641	9307.101101
642	9298.087738
643	9293.498424
644	9293.003663
645	9288.413354
646	9284.296611
647	9269.242538
648	9260.229181
649	9254.537582
650	9250.585997
651	9233.562957
652	9224.602728
653	9218.663993
654	9209.05546
655	9203.263825
656	9201.230613
657	9194.561606
658	9194.047865
659	9192.779947
660	9186.737932
661	9181.982036
662	9175.840317
663	9174.871071
664	9168.79836
665	9159.630162
666	9156.053383
667	9142.116356
668	9139.136485
669	9136.925464
670	9130.468015
671	9125.094039
672	9115.124174
673	9108.885349
674	9097.86753
675	9090.498254
676	9083.595407
677	9080.073347
678	9079.56681
679	9074.216817
680	9066.643396
681	9052.26773
682	9051.983224
683	9044.02232
684	9032.402854
685	9018.599376
686	8998.738127
687	8986.496035
688	8979.558648
689	8978.172529
690	8977.028787
691	8968.604181
692	8959.677463
693	8947.350751
694	8932.893186
695	8918.308169
696	8915.302261
697	8907.15105
698	8903.256025
699	8897.137329
700	8890.908604
701	8889.817983
702	8882.655841
703	8868.564807
704	8863.444428
705	8854.049164
706	8844.157118
707	8839.234619
708	8835.106002
709	8827.224763
710	8820.815611
711	8809.183674
712	8799.232834
713	8790.595217
714	8789.633294
715	8773.012735
716	8764.187526
717	8754.289483
718	8748.978226
719	8745.549301
720	8738.989679
721	8733.251019
722	8729.067246
723	8720.916999
724	8719.975456
725	8714.302112
726	8711.14266
727	8708.301349
728	8697.970007
729	8689.187943
730	8677.257322
731	8664.847226
732	8660.499803
733	8659.580935
734	8649.440883
735	8644.547833
736	8637.836355
737	8625.078717
738	8624.182409
739	8623.499536
740	8614.188999
741	8608.697386
742	8604.671085
743	8598.815313
744	8597.324454
745	8587.243348
746	8583.104939
747	8574.281005
748	8567.41426
749	8562.174569
750	8558.54097
751	8556.641762
752	8551.768078
753	8549.136864
754	8541.526364
755	8536.337388
756	8533.857662
757	8530.163266
758	8526.230593
759	8519.554217
760	8510.440593
761	8507.014786
762	8504.947528
763	8502.598169
764	8496.833142
765	8492.475124
766	8488.841519
767	8481.778056
768	8472.203067
769	8464.38601
770	8448.81121
771	8445.695473
772	8431.699247
773	8426.993726
774	8418.774044
775	8411.479827
776	8408.685495
777	8398.637117
778	8390.16189
779	8387.258975
780	8378.849454
781	8370.986902
782	8366.327473
783	8356.010706
784	8350.461517
785	8349.641007
786	8348.79655
787	8347.02962
788	8342.642391
789	8331.24514
790	8325.78038
791	8322.641059
792	8321.823401
793	8313.630533
794	8308.860957
795	8307.68649
796	8296.896304
797	8289.392892
798	8286.024441
799	8285.256805
800	8277.366696
801	8269.524644
802	8265.596743
803	8257.878674
804	8251.311035
805	8236.765457
806	8231.107145
807	8230.409058
808	8227.472463
809	8218.688976
810	8212.755868
811	8201.653667
812	8189.561723
813	8188.351075
814	8175.769114
815	8174.833589
816	8171.945034
817	8162.54278
818	8161.306274
819	8151.941707
820	8147.011848
821	8140.509582
822	8138.452085
823	8134.54592
824	8134.264025
825	8129.361925
826	8125.272672
827	8121.269709
828	8115.739489
829	8115.476576
830	8112.859011
831	8111.413119
832	8110.055547
833	8101.184867
834	8098.955566
835	8094.456506
836	8091.726031
837	8081.294686
838	8080.489283
839	8076.281559
840	8070.418071
841	8064.269892
842	8058.747948
843	8058.354621
844	8057.7655
845	8046.03686
846	8035.182642
847	8032.681892
848	8021.847376
849	8015.541957
850	8010.587674
851	8000.144182
852	7989.250998
853	7986.118735
854	7977.536883
855	7974.555308
